,score
441,4.426287652620858
442,4.315933897280406
443,5.240363713299082
444,4.318315336301985
445,4.1458829642579635
446,3.385618786827372
447,4.800545725597143
448,5.855475236960846
449,5.467115869366393
450,5.513014895927225
451,5.705542851545006
452,7.212609126984125
453,8.472708890374333
454,11.607632015972529
455,11.531032697220983
456,10.793213972989516
457,12.29590378296454
458,17.57224143911644
459,11.750788112853328
460,17.797043378793695
461,21.510209331943987
462,19.447133699633696
463,12.90193554593555
464,12.62036093292672
465,10.867773407148405
466,12.217598680618458
467,13.718672766409837
468,15.13703623624516
469,11.370428876678877
470,22.079196641662694
471,15.552550619385688
472,16.921665070095024
473,13.416727892850185
474,15.49738095238095
475,16.61383551931939
476,12.766826736971852
477,13.609204997787941
478,16.419300081163176
479,17.121929416077435
480,13.237274412579287
481,15.13459755491828
482,16.4211571407895
483,17.06123535156588
484,13.199599231178182
485,16.894309669925086
486,19.785838558150818
487,20.171473359973362
488,25.029413972966598
489,19.482140811199308
490,21.61726819085669
491,19.079249636584596
492,19.70757563102158
493,16.51526423150044
494,24.91061286027569
495,13.64370480715958
496,22.454013864054627
497,18.605423705555125
498,14.001359242696886
499,12.174382424098946
500,10.271158801414558
501,14.336265836380967
502,15.337224088707929
503,28.73392485698301
504,22.724901614174172
505,13.18041414378392
506,12.278483233475496
507,18.267609088847916
508,17.64891889516022
509,18.524068613510984
510,32.48497998278748
511,25.164726312579106
512,22.96477558855959
513,30.07679390476959
514,24.051180132259628
515,17.806481757218478
516,16.762648948255045
517,13.335993145536909
518,14.638694787053106
519,23.423030107985404
520,26.547611563315716
521,17.824906936928883
522,15.82206351185937
523,27.301266166438158
524,19.88744279812555
525,15.952172540864929
526,27.21991058302574
527,25.120886444057334
528,23.075128887797604
529,23.575860518937564
530,33.19981053501895
